Date,High,Low,Open,Close,Volume,Adj Close
2020-11-23,526.0,501.7900085449219,503.5,521.8499755859375,50260300,521.8499755859375
2020-11-24,559.989990234375,526.2000122070312,540.4000244140625,555.3800048828125,53648500,555.3800048828125
2020-11-25,574.0,545.3699951171875,550.0599975585938,574.0,48930200,574.0
2020-11-27,598.780029296875,578.4500122070312,581.1599731445312,585.760009765625,37561100,585.760009765625
2020-11-30,607.7999877929688,554.510009765625,602.2100219726562,567.5999755859375,63003100,567.5999755859375
2020-12-01,597.8499755859375,572.0499877929688,597.5900268554688,584.760009765625,40103500,584.760009765625
2020-12-02,571.5399780273438,541.2100219726562,556.4400024414062,568.8200073242188,47775700,568.8200073242188
2020-12-03,598.969970703125,582.4299926757812,590.02001953125,593.3800048828125,42552000,593.3800048828125
2020-12-04,599.0399780273438,585.5,591.010009765625,599.0399780273438,29401300,599.0399780273438
2020-12-07,648.7899780273438,603.0499877929688,604.9199829101562,641.760009765625,56309700,641.760009765625
2020-12-08,651.280029296875,618.5,625.510009765625,649.8800048828125,64265000,649.8800048828125
2020-12-09,654.3200073242188,588.0,653.6900024414062,604.47998046875,71291200,604.47998046875
2020-12-10,627.75,566.3400268554688,574.3699951171875,627.0700073242188,67083200,627.0700073242188
2020-12-11,624.0,596.7999877929688,615.010009765625,609.989990234375,46475000,609.989990234375
2020-12-14,642.75,610.2000122070312,619.0,639.8300170898438,52040600,639.8300170898438
2020-12-15,646.9000244140625,623.7999877929688,643.280029296875,633.25,45071500,633.25
2020-12-16,632.5,605.0,628.22998046875,622.77001953125,42095800,622.77001953125
2020-12-17,658.8200073242188,619.5,628.1900024414062,655.9000244140625,56270100,655.9000244140625
2020-12-18,695.0,628.5399780273438,668.9000244140625,695.0,222126200,695.0
2020-12-21,668.5,646.0700073242188,666.239990234375,649.8599853515625,58045300,649.8599853515625
2020-12-22,649.8800048828125,614.22998046875,648.0,640.3400268554688,51716000,640.3400268554688
2020-12-23,651.5,622.5700073242188,632.2000122070312,645.97998046875,33173000,645.97998046875
2020-12-24,666.0900268554688,641.0,642.989990234375,661.77001953125,22865600,661.77001953125
2020-12-28,681.4000244140625,660.7999877929688,674.510009765625,663.6900024414062,32278600,663.6900024414062
2020-12-29,669.9000244140625,655.0,661.0,665.989990234375,22910800,665.989990234375
2020-12-30,696.5999755859375,668.3599853515625,672.0,694.780029296875,42846000,694.780029296875
2020-12-31,718.719970703125,691.1199951171875,699.989990234375,705.6699829101562,49649900,705.6699829101562
2021-01-04,744.489990234375,717.1900024414062,719.4600219726562,729.77001953125,48638200,729.77001953125
2021-01-05,740.8400268554688,719.2000122070312,723.6599731445312,735.1099853515625,32245200,735.1099853515625
2021-01-06,774.0,749.0999755859375,758.489990234375,755.97998046875,44700000,755.97998046875
2021-01-07,816.989990234375,775.2000122070312,777.6300048828125,816.0399780273438,51498900,816.0399780273438
2021-01-08,884.489990234375,838.3900146484375,856.0,880.02001953125,75055500,880.02001953125
2021-01-11,854.4299926757812,803.6199951171875,849.4000244140625,811.1900024414062,59301600,811.1900024414062
2021-01-12,868.0,827.3400268554688,831.0,849.4400024414062,46270700,849.4400024414062
